scenario,scenario2,method,mse_clean,mse_meaningful_weak_best,mse_meaningful_strong_best,mse_noise_weak_best,mse_noise_strong_best
linear,all,Momentum,29.3396,31.7251,36.5874,31.1855,39.5017
linear,all,Momentum+Flood,29.37,31.8446,36.8404,30.503,35.3464
linear,all,TopK,29.3897,31.7611,36.6023,31.6097,41.792
linear,all,TopK+Flood,29.5706,32.06,37.0782,31.8713,41.638
linear,all,TopK+Momentum,29.334,31.6657,36.4472,31.5645,41.727
linear,all,TopK+Momentum+Flood,29.4682,31.8443,36.6923,31.8326,42.92
linear,all,Vanilla,29.3745,31.7639,36.632,31.3129,40.0504
linear,all,Vanilla+Flood,29.3616,31.8407,36.8435,30.5575,35.7111
linear,base,Momentum,4.3932,5.4266,8.9046,4.5949,5.6645
linear,base,Momentum+Flood,4.4569,5.6605,9.3939,4.5183,4.8602
linear,base,TopK,4.4114,5.4397,8.91,4.7301,6.4617
linear,base,TopK+Flood,4.597,5.9011,9.7851,4.7504,5.6818
linear,base,TopK+Momentum,4.4142,5.4525,8.9379,4.7065,6.3071
linear,base,TopK+Momentum+Flood,4.5993,5.8847,9.7408,4.8249,6.0649
linear,base,Vanilla,4.3948,5.4345,8.9219,4.5786,5.5396
linear,base,Vanilla+Flood,4.4554,5.6579,9.3896,4.518,4.855
linear,corr,Momentum,4.8375,5.449,7.1022,5.0146,5.8823
linear,corr,Momentum+Flood,4.8765,5.5241,7.2315,4.901,5.006
linear,corr,TopK,4.979,5.5819,7.2222,5.7142,9.4755
linear,corr,TopK+Flood,5.0456,5.6959,7.4073,5.8398,9.8123
linear,corr,TopK+Momentum,4.98,5.5818,7.2206,5.7271,9.5929
linear,corr,TopK+Momentum+Flood,5.0533,5.7024,7.4123,5.7164,9.1446
linear,corr,Vanilla,4.8406,5.4544,7.1111,5.0317,5.9409
linear,corr,Vanilla+Flood,4.8783,5.5257,7.2329,4.9346,5.1719
linear,highdim,Momentum,4.6262,5.9822,10.0058,5.0438,7.6006
linear,highdim,Momentum+Flood,4.644,6.134,10.3585,4.7672,5.4975
linear,highdim,TopK,4.7028,6.0931,10.168,5.3796,9.0853
linear,highdim,TopK+Flood,4.9103,6.5613,11.0273,5.2885,7.3336
linear,highdim,TopK+Momentum,4.7055,6.0981,10.1766,5.3634,8.964
linear,highdim,TopK+Momentum+Flood,4.824,6.4094,10.7769,5.2664,7.8215
linear,highdim,Vanilla,4.6295,5.9906,10.0215,5.0129,7.3634
linear,highdim,Vanilla+Flood,4.6422,6.13,10.351,4.7587,5.4753
linear,highnoise,Momentum,27.2259,29.032,33.669,28.3662,34.4368
linear,highnoise,Momentum+Flood,27.6724,29.9156,35.2083,28.0235,29.9402
linear,highnoise,TopK,27.2256,28.9974,33.5829,28.6112,36.1739
linear,highnoise,TopK+Flood,28.0237,30.3472,35.7604,28.7347,32.8942
linear,highnoise,TopK+Momentum,27.2352,29.0187,33.6218,28.471,35.1517
linear,highnoise,TopK+Momentum+Flood,28.0401,30.3619,35.7724,28.9901,34.311
linear,highnoise,Vanilla,27.2179,29.0185,33.6473,28.2725,33.8309
linear,highnoise,Vanilla+Flood,27.6764,29.9237,35.2226,28.0222,29.9018
mixed,all,Momentum,34.0809,40.9059,56.6024,62.586,9778.5894
mixed,all,Momentum+Flood,34.1846,41.1406,57.0335,51.9504,5938.1364
mixed,all,TopK,34.2914,41.2039,57.0316,66.5336,11729.7774
mixed,all,TopK+Flood,34.4903,41.3795,57.1722,72.2433,16879.0617
mixed,all,TopK+Momentum,34.1217,40.9396,56.6252,65.1583,10770.4993
mixed,all,TopK+Momentum+Flood,34.2862,41.1121,56.8099,60.2896,8328.6015
mixed,all,Vanilla,34.1341,40.9615,56.6616,66.1708,10973.3246
mixed,all,Vanilla+Flood,34.2206,41.1819,57.0828,52.2215,6039.8931
mixed,base,Momentum,6.6271,9.7753,19.6476,18.0348,4844.86
mixed,base,Momentum+Flood,6.6543,9.8362,19.7593,16.4045,3822.2412
mixed,base,TopK,7.073,10.3148,20.3276,26.0824,8538.4308
mixed,base,TopK+Flood,7.1081,10.3874,20.4565,24.238,7362.783
mixed,base,TopK+Momentum,7.0911,10.3459,20.3782,26.0898,8519.1719
mixed,base,TopK+Momentum+Flood,7.1169,10.4016,20.479,24.5709,7634.0427
mixed,base,Vanilla,6.6389,9.7927,19.6735,18.0194,4866.102
mixed,base,Vanilla+Flood,6.6636,9.8519,19.7846,16.1461,3639.3874
mixed,corr,Momentum,7.0261,10.5125,21.7041,15.4177,3044.1773
mixed,corr,Momentum+Flood,7.032,10.5215,21.7177,15.3044,2916.7673
mixed,corr,TopK,7.1392,10.549,21.6256,23.5526,5510.3702
mixed,corr,TopK+Flood,7.1337,10.5464,21.6272,23.1808,5572.4957
mixed,corr,TopK+Momentum,7.1317,10.5442,21.6249,23.5521,5337.3649
mixed,corr,TopK+Momentum+Flood,7.1443,10.5727,21.6772,23.2714,5325.2671
mixed,corr,Vanilla,7.0198,10.4995,21.6808,15.761,3217.2293
mixed,corr,Vanilla+Flood,7.0234,10.514,21.7116,15.3865,3019.5305
mixed,highdim,Momentum,8.7125,13.3421,25.3971,30.0803,6324.7189
mixed,highdim,Momentum+Flood,8.7064,13.3649,25.4633,22.7843,3466.3384
mixed,highdim,TopK,9.0378,13.7931,26.0366,30.8882,6511.0755
mixed,highdim,TopK+Flood,9.0072,13.7397,25.9491,27.9684,5057.5102
mixed,highdim,TopK+Momentum,9.0274,13.7877,26.0387,29.7865,6238.6107
mixed,highdim,TopK+Momentum+Flood,9.0137,13.7789,26.0372,24.441,4103.5313
mixed,highdim,Vanilla,8.6902,13.3034,25.3339,29.892,6245.9928
mixed,highdim,Vanilla+Flood,8.6853,13.3381,25.4278,21.9897,3290.2957
mixed,highnoise,Momentum,31.5958,36.6447,49.3684,53.2116,12198.2631
mixed,highnoise,Momentum+Flood,31.6094,36.8215,49.7898,39.7253,3040.2032
mixed,highnoise,TopK,31.6884,36.7499,49.4924,53.2801,11989.4233
mixed,highnoise,TopK+Flood,31.7118,36.8803,49.7832,47.2744,5893.85
mixed,highnoise,TopK+Momentum,31.6886,36.7821,49.5725,48.7097,7992.8943
mixed,highnoise,TopK+Momentum+Flood,31.7388,36.9133,49.8254,41.187,3614.4919
mixed,highnoise,Vanilla,31.6212,36.6849,49.4305,54.4235,13317.1153
mixed,highnoise,Vanilla+Flood,31.6389,36.8706,49.8684,39.3909,2891.559
real,bodyfat,Momentum,20.5217,,,,
real,bodyfat,Momentum+Flood,20.9181,,,,
real,bodyfat,TopK,21.9465,,,,
real,bodyfat,TopK+Flood,22.3144,,,,
real,bodyfat,TopK+Momentum,22.1469,,,,
real,bodyfat,TopK+Momentum+Flood,22.5147,,,,
real,bodyfat,Vanilla,20.5448,,,,
real,bodyfat,Vanilla+Flood,20.9067,,,,
real,diabetes,Momentum,2904.9839,,,,
real,diabetes,Momentum+Flood,2963.7926,,,,
real,diabetes,TopK,2904.0095,,,,
real,diabetes,TopK+Flood,2982.8472,,,,
real,diabetes,TopK+Momentum,2902.9697,,,,
real,diabetes,TopK+Momentum+Flood,2981.7457,,,,
real,diabetes,Vanilla,2905.8017,,,,
real,diabetes,Vanilla+Flood,2966.0031,,,,
real,riboflavin,Momentum,0.1677,,,,
real,riboflavin,Momentum+Flood,0.167,,,,
real,riboflavin,TopK,0.1659,,,,
real,riboflavin,TopK+Flood,0.1638,,,,
real,riboflavin,TopK+Momentum,0.1667,,,,
real,riboflavin,TopK+Momentum+Flood,0.1663,,,,
real,riboflavin,Vanilla,0.1656,,,,
real,riboflavin,Vanilla+Flood,0.1625,,,,
sine,all,Momentum,32.1965,39.5104,56.9187,33.0485,33.6248
sine,all,Momentum+Flood,32.6486,40.6485,59.0856,32.8495,33.2487
sine,all,TopK,32.6725,40.1696,57.8526,33.9062,35.0528
sine,all,TopK+Flood,35.1264,44.1545,64.134,35.7165,36.9911
sine,all,TopK+Momentum,32.5922,40.0909,57.7765,33.6255,34.7645
sine,all,TopK+Momentum+Flood,35.1339,44.2142,64.2721,35.8156,36.9856
