signal,scenario,method,use_flooding,mse_clean_p,mse_clean_rel_change,mse_clean_test
Linear,Baseline,Momentum,False,0.26059,-0.0004,t-test
Linear,Multicollinearity,Momentum,False,0.14339,-0.0006,t-test
Linear,High-dimensionality,Momentum,False,0.46896,-0.0007,t-test
Linear,High noise,Momentum,False,0.85527,0.0003,Wilcoxon
Linear,All deviations,Momentum,False,0.10943,-0.0012,Wilcoxon
Smooth,Baseline,Momentum,False,0.34921,0.0011,Wilcoxon
Smooth,Multicollinearity,Momentum,False,0.56986,-0.0007,Wilcoxon
Smooth,High-dimensionality,Momentum,False,0.3818,-0.0314,Wilcoxon
Smooth,High noise,Momentum,False,0.71671,-0.0005,t-test
Smooth,All deviations,Momentum,False,0.08962,-0.0204,Wilcoxon
Sine,Baseline,Momentum,False,0.12413,-0.0006,Wilcoxon
Sine,Multicollinearity,Momentum,False,0.62635,0.0001,Wilcoxon
Sine,High-dimensionality,Momentum,False,0.07672,-0.0002,Wilcoxon
Sine,High noise,Momentum,False,0.23665,-0.0001,Wilcoxon
Sine,All deviations,Momentum,False,0.01752,-0.001,t-test
Step,Baseline,Momentum,False,0.04206,-0.007,t-test
Step,Multicollinearity,Momentum,False,0.0,-0.0298,t-test
Step,High-dimensionality,Momentum,False,0.0,-0.0583,Wilcoxon
Step,High noise,Momentum,False,0.00035,-0.0094,t-test
Step,All deviations,Momentum,False,0.0,-0.0575,t-test
Mixed,Baseline,Momentum,False,0.00011,-0.0018,Wilcoxon
Mixed,Multicollinearity,Momentum,False,0.236,0.0009,t-test
Mixed,High-dimensionality,Momentum,False,0.61201,0.0026,Wilcoxon
Mixed,High noise,Momentum,False,0.09195,-0.0008,Wilcoxon
Mixed,All deviations,Momentum,False,0.01392,-0.0016,t-test
Real,Bodyfat,Momentum,False,0.11418,-0.0011,Wilcoxon
Real,Diabetes,Momentum,False,0.26212,-0.0003,Wilcoxon
Real,Riboflavin,Momentum,False,0.07324,0.0127,Wilcoxon
Linear,Baseline,Momentum,True,0.00021,0.0141,Wilcoxon
Linear,Multicollinearity,Momentum,True,0.87121,0.0074,Wilcoxon
Linear,High-dimensionality,Momentum,True,0.3184,0.0031,Wilcoxon
Linear,High noise,Momentum,True,1e-05,0.0167,Wilcoxon
Linear,All deviations,Momentum,True,0.73034,-0.0002,Wilcoxon
Smooth,Baseline,Momentum,True,0.41613,0.001,Wilcoxon
Smooth,Multicollinearity,Momentum,True,0.51585,-0.0036,Wilcoxon
Smooth,High-dimensionality,Momentum,True,0.30852,-0.0321,Wilcoxon
Smooth,High noise,Momentum,True,0.146,0.0042,Wilcoxon
Smooth,All deviations,Momentum,True,0.05566,-0.0199,Wilcoxon
Sine,Baseline,Momentum,True,6e-05,0.0105,t-test
Sine,Multicollinearity,Momentum,True,0.0,0.0201,t-test
Sine,High-dimensionality,Momentum,True,0.03715,0.0048,t-test
Sine,High noise,Momentum,True,6e-05,0.0159,t-test
Sine,All deviations,Momentum,True,0.0018,0.013,t-test
Step,Baseline,Momentum,True,0.13199,-0.0057,t-test
Step,Multicollinearity,Momentum,True,3e-05,-0.0259,t-test
Step,High-dimensionality,Momentum,True,0.0,-0.0551,Wilcoxon
Step,High noise,Momentum,True,0.90339,0.0004,t-test
Step,All deviations,Momentum,True,0.0,-0.0508,t-test
Mixed,Baseline,Momentum,True,0.51585,0.0023,Wilcoxon
Mixed,Multicollinearity,Momentum,True,0.04237,0.0017,t-test
Mixed,High-dimensionality,Momentum,True,0.41613,0.0019,Wilcoxon
Mixed,High noise,Momentum,True,0.17719,-0.0004,Wilcoxon
Mixed,All deviations,Momentum,True,0.76107,0.0015,Wilcoxon
Real,Bodyfat,Momentum,True,0.00277,0.0182,Wilcoxon
Real,Diabetes,Momentum,True,0.00134,0.02,Wilcoxon
Real,Riboflavin,Momentum,True,0.30852,0.0086,Wilcoxon
Linear,Baseline,TopK,False,0.00357,0.0038,t-test
Linear,Multicollinearity,TopK,False,0.0,0.0286,t-test
Linear,High-dimensionality,TopK,False,0.0,0.0158,t-test
Linear,High noise,TopK,False,0.61201,0.0003,Wilcoxon
Linear,All deviations,TopK,False,0.84232,0.0005,t-test
Smooth,Baseline,TopK,False,0.0,0.0791,Wilcoxon
Smooth,Multicollinearity,TopK,False,0.0,0.1025,Wilcoxon
Smooth,High-dimensionality,TopK,False,0.04265,0.0244,Wilcoxon
Smooth,High noise,TopK,False,0.00051,0.0095,Wilcoxon
Smooth,All deviations,TopK,False,0.00814,0.0217,Wilcoxon
Sine,Baseline,TopK,False,0.0,0.1598,t-test
Sine,Multicollinearity,TopK,False,0.0,0.1228,t-test
Sine,High-dimensionality,TopK,False,0.0,0.216,t-test
Sine,High noise,TopK,False,1e-05,0.0182,Wilcoxon
Sine,All deviations,TopK,False,0.00094,0.0137,t-test
